Seed: 4281615
/home/students/cs/2017/chadji15/.local/lib/python3.8/site-packages/sklearn/cluster/_kmeans.py:792: FutureWarning: 'n_jobs' was deprecated in version 0.23 and will be removed in 1.0 (renaming of 0.25).
  warnings.warn("'n_jobs' was deprecated in version 0.23 and will be"
iteration	containerSize	evals	nbUpdated	avg   	std 	min   	max   	elapsed
0        	1/4096       	2000 	8        	[172.]	[0.]	[172.]	[172.]	251.421
1        	1/4096       	128  	0        	[172.]	[0.]	[172.]	[172.]	16.2442
2        	1/4096       	128  	0        	[172.]	[0.]	[172.]	[172.]	16.484 
3        	1/4096       	128  	0        	[172.]	[0.]	[172.]	[172.]	16.0185
4        	1/4096       	128  	1        	[183.]	[0.]	[183.]	[183.]	16.3666
5        	2/4096       	128  	3        	[204.5]	[14.5]	[190.]	[219.]	15.5093
6        	53/4096      	128  	53       	[183.47169811]	[20.34940431]	[148.]	[265.]	15.9667
7        	127/4096     	128  	82       	[183.03937008]	[18.58727089]	[147.]	[265.]	16.8957
8        	198/4096     	128  	75       	[180.98989899]	[20.82005393]	[109.]	[271.]	16.7384
9        	276/4096     	128  	88       	[180.79710145]	[22.13501372]	[109.]	[312.]	17.0711
10       	347/4096     	128  	82       	[180.55619597]	[21.62635641]	[109.]	[312.]	17.3648
11       	406/4096     	128  	70       	[180.72167488]	[21.37972137]	[109.]	[312.]	16.9841
12       	457/4096     	128  	62       	[180.89496718]	[21.68891651]	[109.]	[312.]	17.1952
13       	515/4096     	128  	70       	[180.45242718]	[21.47220305]	[109.]	[312.]	17.6068
14       	568/4096     	128  	65       	[180.6443662] 	[21.556026]  	[109.]	[312.]	17.1293
15       	622/4096     	128  	60       	[180.51286174]	[21.42621366]	[109.]	[312.]	17.1949
16       	682/4096     	128  	74       	[180.84017595]	[21.13216264]	[109.]	[312.]	17.599 
17       	732/4096     	128  	72       	[181.06967213]	[20.45371446]	[109.]	[312.]	17.7425
18       	773/4096     	128  	53       	[181.13712807]	[20.42547]   	[109.]	[312.]	17.0836
19       	829/4096     	128  	73       	[180.99517491]	[20.33429842]	[109.]	[312.]	17.71  
20       	880/4096     	128  	64       	[181.03409091]	[20.40423801]	[109.]	[312.]	17.2941
21       	931/4096     	128  	67       	[181.1783029] 	[20.86230242]	[109.]	[312.]	17.8086
22       	973/4096     	128  	56       	[181.24460432]	[20.92480995]	[109.]	[312.]	18.0775
23       	1022/4096    	128  	57       	[181.0704501] 	[21.04828406]	[109.]	[312.]	17.783 
24       	1065/4096    	128  	61       	[181.22816901]	[21.20637593]	[109.]	[312.]	18.1399
25       	1111/4096    	128  	66       	[181.24752475]	[21.44842747]	[109.]	[312.]	17.4053
26       	1153/4096    	128  	58       	[181.25585429]	[21.34675357]	[109.]	[312.]	17.7685
27       	1207/4096    	128  	66       	[180.95940348]	[21.51208232]	[64.] 	[312.]	17.8544
28       	1247/4096    	128  	50       	[180.83801123]	[21.49357485]	[64.] 	[312.]	17.5824
29       	1288/4096    	128  	60       	[180.82453416]	[21.51491511]	[64.] 	[312.]	17.564 
30       	1328/4096    	128  	51       	[180.97740964]	[21.51822781]	[64.] 	[312.]	17.6109
31       	1362/4096    	128  	49       	[181.10279001]	[21.60766182]	[64.] 	[312.]	17.524 
32       	1399/4096    	128  	66       	[181.40100071]	[21.2853589] 	[109.]	[312.]	17.7336
33       	1437/4096    	128  	59       	[181.5059151] 	[21.24452854]	[109.]	[312.]	17.7117
34       	1464/4096    	128  	45       	[181.71243169]	[21.28710091]	[109.]	[312.]	17.6477
35       	1505/4096    	128  	56       	[181.73289037]	[21.41233572]	[109.]	[312.]	17.6315
36       	1543/4096    	128  	60       	[181.89371355]	[21.43289833]	[109.]	[312.]	17.6468
37       	1572/4096    	128  	49       	[181.86323155]	[21.46734894]	[109.]	[312.]	17.6518
38       	1612/4096    	128  	63       	[181.99565757]	[21.45618436]	[109.]	[312.]	18.0023
39       	1638/4096    	128  	50       	[182.21367521]	[21.55099036]	[109.]	[312.]	17.9325
40       	1666/4096    	128  	41       	[182.25210084]	[21.52817353]	[109.]	[312.]	17.809 
41       	1693/4096    	128  	45       	[182.58889545]	[21.79813784]	[109.]	[312.]	17.6225
42       	1720/4096    	128  	45       	[182.58953488]	[21.88503539]	[109.]	[312.]	17.7939
43       	1749/4096    	128  	45       	[182.49971412]	[21.77951327]	[109.]	[312.]	17.7071
44       	1778/4096    	128  	48       	[182.61023622]	[21.94628494]	[109.]	[312.]	17.6833
45       	1811/4096    	128  	52       	[182.82109332]	[22.07361853]	[109.]	[312.]	18.2585
46       	1834/4096    	128  	40       	[182.87622683]	[22.09147365]	[109.]	[312.]	17.4212
47       	1859/4096    	128  	44       	[182.93760086]	[22.15880823]	[109.]	[312.]	17.7421
48       	1882/4096    	128  	44       	[183.08979809]	[22.24281307]	[109.]	[312.]	17.993 
49       	1911/4096    	128  	48       	[183.19832548]	[22.36886707]	[109.]	[312.]	18.1792
50       	1935/4096    	128  	45       	[183.30697674]	[22.45044679]	[109.]	[312.]	17.4176
51       	1964/4096    	128  	45       	[183.3401222] 	[22.59346731]	[109.]	[312.]	17.8073
52       	1986/4096    	128  	49       	[183.57049345]	[22.93728732]	[109.]	[371.]	17.9141
53       	2007/4096    	128  	49       	[183.82162431]	[23.02456544]	[109.]	[371.]	17.6723
54       	2035/4096    	128  	42       	[183.76461916]	[23.05046544]	[109.]	[371.]	18.0487
55       	2056/4096    	128  	38       	[183.8020428] 	[23.07921176]	[109.]	[371.]	17.9936
56       	2077/4096    	128  	40       	[183.87337506]	[23.15424923]	[109.]	[371.]	18.0539
57       	2097/4096    	128  	36       	[183.99618503]	[23.26372172]	[109.]	[371.]	17.6736
58       	2127/4096    	128  	44       	[183.94170193]	[23.23993097]	[109.]	[371.]	17.7639
59       	2142/4096    	128  	40       	[184.09710551]	[23.29508472]	[109.]	[371.]	18.3361
60       	2159/4096    	128  	37       	[184.20009264]	[23.31232213]	[109.]	[371.]	17.695 
61       	2188/4096    	128  	53       	[184.20658135]	[23.29712916]	[109.]	[371.]	17.9464
62       	2212/4096    	128  	40       	[184.22106691]	[23.23532124]	[109.]	[371.]	17.8498
63       	2238/4096    	128  	46       	[184.22475424]	[23.27473123]	[109.]	[371.]	17.9154
64       	2256/4096    	128  	38       	[184.37943262]	[23.28037181]	[109.]	[371.]	17.7944
65       	2276/4096    	128  	37       	[184.45957821]	[23.36184083]	[109.]	[371.]	17.4698
66       	2288/4096    	128  	42       	[184.68531469]	[23.37262222]	[109.]	[371.]	17.9696
67       	2313/4096    	128  	46       	[184.8002594] 	[23.41549108]	[109.]	[371.]	17.8113
68       	2329/4096    	128  	39       	[184.95191069]	[23.5125339] 	[109.]	[371.]	17.5679
69       	2354/4096    	128  	53       	[185.14358539]	[23.63514322]	[109.]	[371.]	18.0396
70       	2376/4096    	128  	42       	[185.17255892]	[23.65330085]	[109.]	[371.]	18.2978
