Seed: 8392752
iteration	containerSize	evals	nbUpdated	avg   	std 	min   	max   	elapsed
0        	1/8192       	10000	2        	[121.]	[0.]	[121.]	[121.]	337.898
1        	3/8192       	128  	2        	[133.]	[18.40289832]	[119.]	[159.]	4.71723
2        	46/8192      	128  	47       	[120.2173913]	[19.49237648]	[86.] 	[166.]	5.22252
3        	119/8192     	128  	74       	[120.22689076]	[17.28234975]	[86.] 	[174.]	5.63901
4        	188/8192     	128  	71       	[118.82978723]	[16.86311491]	[85.] 	[181.]	5.85647
5        	250/8192     	128  	67       	[118.496]     	[16.67866853]	[78.] 	[181.]	5.97441
6        	307/8192     	128  	63       	[118.26058632]	[16.02696761]	[78.] 	[181.]	5.95718
7        	371/8192     	128  	72       	[118.14555256]	[15.39893056]	[78.] 	[181.]	6.08788
8        	429/8192     	128  	65       	[118.58508159]	[15.26228685]	[78.] 	[181.]	6.14145
9        	490/8192     	128  	67       	[118.19387755]	[15.27172802]	[53.] 	[181.]	6.04367
10       	548/8192     	128  	72       	[118.20437956]	[14.96596562]	[53.] 	[181.]	6.26568
11       	622/8192     	128  	83       	[118.47588424]	[14.91504012]	[53.] 	[181.]	6.22834
12       	679/8192     	128  	67       	[118.71723122]	[14.66452084]	[53.] 	[181.]	6.28713
13       	750/8192     	128  	75       	[118.876]     	[14.77129956]	[53.] 	[181.]	6.30046
14       	796/8192     	128  	64       	[119.26130653]	[14.69786366]	[53.] 	[181.]	6.39238
15       	849/8192     	128  	60       	[119.49705536]	[14.70175597]	[53.] 	[181.]	6.22725
16       	903/8192     	128  	66       	[119.6013289] 	[14.63927568]	[53.] 	[181.]	6.25715
17       	956/8192     	128  	57       	[119.47698745]	[14.60284884]	[53.] 	[181.]	6.34168
18       	1018/8192    	128  	73       	[119.47053045]	[14.68462221]	[53.] 	[181.]	6.38957
19       	1072/8192    	128  	68       	[119.57929104]	[14.58848645]	[53.] 	[181.]	6.49327
20       	1134/8192    	128  	76       	[119.5978836] 	[14.49839239]	[53.] 	[181.]	6.41769
21       	1187/8192    	128  	64       	[119.58550969]	[14.50567303]	[53.] 	[181.]	6.52548
22       	1242/8192    	128  	66       	[119.63848631]	[14.61906748]	[53.] 	[181.]	6.39353
23       	1295/8192    	128  	64       	[119.85328185]	[14.50826215]	[53.] 	[181.]	6.42609
24       	1347/8192    	128  	62       	[119.82999258]	[14.45608942]	[53.] 	[181.]	6.49061
25       	1395/8192    	128  	58       	[119.80143369]	[14.40594255]	[53.] 	[181.]	6.38225
26       	1445/8192    	128  	65       	[119.90519031]	[14.42829811]	[53.] 	[181.]	6.36943
27       	1503/8192    	128  	74       	[119.99733866]	[14.36521056]	[53.] 	[181.]	6.3045 
28       	1542/8192    	128  	50       	[120.09597925]	[14.28979743]	[53.] 	[181.]	6.48532
29       	1592/8192    	128  	66       	[120.22298995]	[14.3247475] 	[53.] 	[181.]	6.39524
30       	1650/8192    	128  	73       	[120.21515152]	[14.25453933]	[53.] 	[185.]	6.37675
31       	1684/8192    	128  	47       	[120.20902613]	[14.23689177]	[53.] 	[185.]	6.51543
32       	1739/8192    	128  	68       	[120.23289247]	[14.21648685]	[53.] 	[185.]	6.51468
33       	1792/8192    	128  	63       	[120.31082589]	[14.2111365] 	[53.] 	[185.]	6.43784
34       	1826/8192    	128  	51       	[120.4381161] 	[14.31452183]	[53.] 	[191.]	6.39137
35       	1870/8192    	128  	59       	[120.52620321]	[14.43117941]	[53.] 	[207.]	6.46274
36       	1914/8192    	128  	60       	[120.63897597]	[14.40229454]	[53.] 	[207.]	6.4285 
37       	1961/8192    	128  	64       	[120.60785314]	[14.36888245]	[53.] 	[207.]	6.62678
38       	2000/8192    	128  	47       	[120.5505]    	[14.38472974]	[53.] 	[207.]	6.53036
39       	2037/8192    	128  	50       	[120.60235641]	[14.29536091]	[53.] 	[207.]	6.3433 
40       	2090/8192    	128  	63       	[120.68325359]	[14.28651309]	[53.] 	[207.]	6.83986
41       	2140/8192    	128  	65       	[120.66308411]	[14.25787344]	[53.] 	[207.]	6.44416
42       	2178/8192    	128  	56       	[120.73737374]	[14.32070329]	[53.] 	[207.]	6.57095
