Seed: 66999890
iteration	containerSize	evals	nbUpdated	avg  	std 	min  	max  	elapsed
0        	1/4096       	10000	1        	[24.]	[0.]	[24.]	[24.]	115.398
1        	2/4096       	128  	1        	[24.]	[0.]	[24.]	[24.]	1.05228
2        	29/4096      	128  	32       	[25.4137931]	[4.82462964]	[14.]	[34.]	1.65852
3        	84/4096      	128  	62       	[24.36904762]	[4.92993712]	[14.]	[34.]	1.8683 
4        	128/4096     	128  	50       	[24.3359375] 	[4.79791189]	[14.]	[35.]	1.85893
5        	172/4096     	128  	54       	[24.29651163]	[4.95437199]	[11.]	[35.]	1.87645
6        	217/4096     	128  	57       	[24.13824885]	[5.33221344]	[6.] 	[35.]	1.90517
7        	268/4096     	128  	62       	[24.17910448]	[5.37871808]	[6.] 	[36.]	1.9775 
8        	300/4096     	128  	45       	[24.48]      	[5.35128645]	[6.] 	[36.]	1.88393
9        	341/4096     	128  	53       	[24.62463343]	[5.2223165] 	[6.] 	[36.]	1.92275
10       	384/4096     	128  	52       	[24.58333333]	[5.17086523]	[6.] 	[36.]	1.91044
11       	421/4096     	128  	45       	[24.60570071]	[5.07814149]	[6.] 	[36.]	1.93295
12       	454/4096     	128  	47       	[24.70704846]	[5.07694917]	[6.] 	[36.]	1.90555
13       	494/4096     	128  	56       	[24.63967611]	[5.13144279]	[6.] 	[36.]	1.92798
14       	531/4096     	128  	43       	[24.58757062]	[5.09138299]	[6.] 	[36.]	1.92662
15       	565/4096     	128  	49       	[24.67787611]	[5.08431102]	[6.] 	[36.]	2.06009
16       	594/4096     	128  	47       	[24.78956229]	[5.18296473]	[6.] 	[36.]	2.05931
17       	623/4096     	128  	41       	[24.8459069] 	[5.21960852]	[6.] 	[36.]	1.9224 
18       	653/4096     	128  	43       	[24.91730475]	[5.23381842]	[6.] 	[36.]	1.92205
19       	676/4096     	128  	41       	[24.9852071] 	[5.20352806]	[6.] 	[36.]	1.95201
20       	702/4096     	128  	48       	[25.12535613]	[5.13256858]	[7.] 	[36.]	2.16063
21       	735/4096     	128  	40       	[25.13333333]	[5.0662191] 	[7.] 	[36.]	1.97508
22       	756/4096     	128  	32       	[25.17195767]	[5.04367768]	[7.] 	[36.]	2.02592
23       	793/4096     	128  	43       	[25.20302648]	[5.03735263]	[7.] 	[36.]	1.92884
24       	820/4096     	128  	42       	[25.25]      	[5.03496918]	[7.] 	[36.]	1.91747
25       	836/4096     	128  	33       	[25.32416268]	[5.00061622]	[7.] 	[36.]	2.15395
26       	858/4096     	128  	37       	[25.36829837]	[4.95781948]	[7.] 	[36.]	2.01079
27       	888/4096     	128  	49       	[25.34684685]	[5.01789267]	[7.] 	[36.]	2.03611
28       	915/4096     	128  	37       	[25.36721311]	[4.97717373]	[7.] 	[36.]	1.97192
29       	937/4096     	128  	33       	[25.34791889]	[5.00720702]	[7.] 	[36.]	1.97137
30       	960/4096     	128  	40       	[25.44166667]	[4.93549361]	[7.] 	[36.]	1.96645
