Seed: 49068263
iteration	containerSize	evals	nbUpdated	avg  	std 	min  	max  	elapsed
0        	1/2048       	10000	1        	[12.]	[0.]	[12.]	[12.]	697.336
1        	1/2048       	128  	1        	[15.]	[0.]	[15.]	[15.]	9.05113
2        	2/2048       	128  	2        	[15.]	[3.]	[12.]	[18.]	8.56253
3        	33/2048      	128  	31       	[11.90909091]	[1.71205417]	[8.] 	[18.]	8.49789
4        	94/2048      	128  	63       	[11.4893617] 	[1.56928416]	[4.] 	[18.]	7.1101 
5        	156/2048     	128  	64       	[11.25]      	[1.55095091]	[4.] 	[18.]	7.13215
6        	220/2048     	128  	68       	[11.13181818]	[1.55091948]	[4.] 	[18.]	6.3786 
7        	271/2048     	128  	56       	[11.16236162]	[1.57101994]	[4.] 	[18.]	7.00613
8        	327/2048     	128  	60       	[11.12844037]	[1.59376221]	[4.] 	[18.]	7.02308
9        	375/2048     	128  	56       	[11.09866667]	[1.67598674]	[3.] 	[18.]	6.69845
10       	434/2048     	128  	66       	[11.06682028]	[1.62856289]	[3.] 	[18.]	6.16153
11       	468/2048     	128  	39       	[11.08333333]	[1.61572799]	[3.] 	[18.]	6.51168
12       	508/2048     	128  	50       	[11.03740157]	[1.6303527] 	[3.] 	[18.]	6.21493
13       	551/2048     	128  	52       	[11.0508167] 	[1.61693462]	[3.] 	[18.]	6.52218
14       	580/2048     	128  	36       	[11.05689655]	[1.66356618]	[3.] 	[18.]	6.80887
15       	627/2048     	128  	56       	[11.04625199]	[1.68852903]	[3.] 	[18.]	6.90651
16       	665/2048     	128  	47       	[11.07669173]	[1.65392617]	[3.] 	[18.]	6.75867
17       	699/2048     	128  	43       	[11.08726753]	[1.6134612] 	[3.] 	[18.]	6.18777
18       	732/2048     	128  	46       	[11.11885246]	[1.59089788]	[3.] 	[18.]	6.88559
19       	766/2048     	128  	42       	[11.1383812] 	[1.55631099]	[3.] 	[18.]	6.40961
20       	794/2048     	128  	46       	[11.1511335] 	[1.55417046]	[3.] 	[18.]	5.80983
21       	821/2048     	128  	32       	[11.14007308]	[1.56891686]	[3.] 	[18.]	6.38669
22       	845/2048     	128  	36       	[11.15502959]	[1.57370821]	[3.] 	[18.]	6.44278
23       	869/2048     	128  	32       	[11.17606444]	[1.56488441]	[3.] 	[18.]	6.37985
24       	895/2048     	128  	37       	[11.20782123]	[1.5711595] 	[3.] 	[18.]	6.32065
25       	912/2048     	128  	27       	[11.20394737]	[1.59840442]	[3.] 	[18.]	6.35393
26       	928/2048     	128  	35       	[11.24892241]	[1.59724268]	[3.] 	[18.]	6.39465
27       	963/2048     	128  	47       	[11.26064382]	[1.61816608]	[3.] 	[18.]	6.40846
28       	983/2048     	128  	33       	[11.27772126]	[1.60909865]	[3.] 	[18.]	6.58503
29       	1007/2048    	128  	35       	[11.28599801]	[1.61042796]	[3.] 	[18.]	6.56487
30       	1027/2048    	128  	28       	[11.2872444] 	[1.59119501]	[3.] 	[18.]	5.96887
31       	1060/2048    	128  	43       	[11.27358491]	[1.59972296]	[3.] 	[18.]	6.41521
32       	1084/2048    	128  	41       	[11.28690037]	[1.59732652]	[3.] 	[18.]	6.2337 
33       	1101/2048    	128  	32       	[11.30517711]	[1.6149451] 	[3.] 	[18.]	6.71684
34       	1118/2048    	128  	27       	[11.32647585]	[1.62819421]	[3.] 	[18.]	6.75045
35       	1150/2048    	128  	44       	[11.34173913]	[1.61694734]	[3.] 	[18.]	6.44732
36       	1171/2048    	128  	28       	[11.34756618]	[1.61481732]	[3.] 	[18.]	6.93162
37       	1188/2048    	128  	26       	[11.35774411]	[1.60569241]	[3.] 	[18.]	6.84399
38       	1208/2048    	128  	30       	[11.37748344]	[1.61118492]	[3.] 	[18.]	7.22397
39       	1224/2048    	128  	30       	[11.39705882]	[1.64123474]	[3.] 	[18.]	6.49034
40       	1237/2048    	128  	25       	[11.40420372]	[1.65004058]	[3.] 	[18.]	6.59268
41       	1258/2048    	128  	39       	[11.43084261]	[1.67096292]	[3.] 	[18.]	7.10857
42       	1281/2048    	128  	35       	[11.44106167]	[1.71091919]	[3.] 	[18.]	6.98438
43       	1294/2048    	128  	28       	[11.46367852]	[1.71991537]	[3.] 	[18.]	7.74181
44       	1309/2048    	128  	23       	[11.46218487]	[1.71751819]	[3.] 	[18.]	6.11884
45       	1320/2048    	128  	26       	[11.48787879]	[1.71221239]	[3.] 	[18.]	7.38904
46       	1335/2048    	128  	24       	[11.49438202]	[1.72613918]	[3.] 	[18.]	6.89386
47       	1349/2048    	128  	20       	[11.49888807]	[1.7248131] 	[3.] 	[18.]	6.4399 
48       	1365/2048    	128  	29       	[11.51062271]	[1.71890927]	[3.] 	[18.]	6.96548
49       	1375/2048    	128  	22       	[11.52509091]	[1.71472433]	[3.] 	[18.]	7.121  
50       	1393/2048    	128  	35       	[11.54271357]	[1.71637704]	[3.] 	[18.]	6.79555
51       	1403/2048    	128  	25       	[11.55880257]	[1.7123714] 	[3.] 	[18.]	7.35251
52       	1414/2048    	128  	28       	[11.57920792]	[1.71205657]	[3.] 	[18.]	6.50941
53       	1429/2048    	128  	27       	[11.59552134]	[1.70296151]	[3.] 	[18.]	6.99822
54       	1437/2048    	128  	21       	[11.60403619]	[1.70669332]	[3.] 	[18.]	7.03448
55       	1453/2048    	128  	23       	[11.60013765]	[1.71962479]	[3.] 	[18.]	7.1261 
56       	1467/2048    	128  	41       	[11.63462849]	[1.72952249]	[3.] 	[18.]	7.1406 
57       	1475/2048    	128  	19       	[11.64949153]	[1.72789421]	[3.] 	[18.]	7.09413
58       	1487/2048    	128  	25       	[11.67316745]	[1.73634734]	[3.] 	[18.]	6.4777 
59       	1495/2048    	128  	23       	[11.69565217]	[1.75459678]	[3.] 	[19.]	7.46284
60       	1510/2048    	128  	23       	[11.70198675]	[1.75406699]	[3.] 	[19.]	7.1175 
61       	1519/2048    	128  	23       	[11.70967742]	[1.75132184]	[3.] 	[19.]	6.5212 
62       	1529/2048    	128  	19       	[11.72596468]	[1.75515297]	[3.] 	[19.]	6.46451
63       	1540/2048    	128  	24       	[11.73831169]	[1.76133428]	[3.] 	[19.]	7.20171
64       	1547/2048    	128  	19       	[11.7498384] 	[1.76882934]	[3.] 	[19.]	7.30085
65       	1556/2048    	128  	25       	[11.76863753]	[1.77216219]	[3.] 	[19.]	6.62876
