Seed: 98766037
iteration	containerSize	evals	nbUpdated	avg   	std 	min   	max   	elapsed
0        	1/8192       	5000 	4        	[121.]	[0.]	[121.]	[121.]	336.822
1        	4/8192       	128  	5        	[120.]	[18.80159568]	[106.]	[152.]	8.83921
2        	67/8192      	128  	67       	[120.29850746]	[16.35703776]	[87.] 	[184.]	9.49458
3        	133/8192     	128  	75       	[119.65413534]	[15.98450618]	[73.] 	[184.]	9.92344
4        	205/8192     	128  	78       	[119.56585366]	[15.73164606]	[73.] 	[184.]	9.59573
5        	273/8192     	128  	73       	[119.72527473]	[16.09500134]	[73.] 	[184.]	9.92534
6        	341/8192     	128  	74       	[119.51319648]	[16.193405]  	[58.] 	[184.]	9.90484
7        	395/8192     	128  	59       	[118.87341772]	[15.8323232] 	[58.] 	[184.]	9.58902
8        	453/8192     	128  	63       	[118.41501104]	[15.1788439] 	[58.] 	[185.]	9.2554 
9        	520/8192     	128  	75       	[118.82307692]	[15.39366272]	[58.] 	[185.]	9.617  
10       	578/8192     	128  	64       	[118.48269896]	[15.24325973]	[58.] 	[185.]	9.53927
11       	630/8192     	128  	61       	[118.83492063]	[15.62399618]	[58.] 	[185.]	9.72958
12       	692/8192     	128  	72       	[119.08815029]	[15.45165979]	[58.] 	[185.]	9.78989
13       	751/8192     	128  	67       	[119.07723036]	[15.77224385]	[58.] 	[185.]	10.0067
14       	801/8192     	128  	55       	[119.31835206]	[15.98742562]	[58.] 	[199.]	9.65372
15       	856/8192     	128  	63       	[119.50350467]	[15.94199435]	[58.] 	[199.]	9.73077
16       	919/8192     	128  	74       	[119.68552775]	[15.72271001]	[58.] 	[199.]	9.55937
17       	973/8192     	128  	65       	[119.87769784]	[15.91784038]	[58.] 	[199.]	9.84352
18       	1036/8192    	128  	70       	[120.11583012]	[15.88393291]	[58.] 	[199.]	9.91036
19       	1106/8192    	128  	78       	[120.42585895]	[15.89552294]	[58.] 	[199.]	9.9965 
20       	1160/8192    	128  	62       	[120.29913793]	[15.78271641]	[58.] 	[199.]	9.62125
21       	1214/8192    	128  	67       	[120.3509061] 	[16.02398619]	[58.] 	[210.]	9.39628
22       	1270/8192    	128  	64       	[120.25748031]	[15.94638665]	[58.] 	[210.]	9.76422
23       	1333/8192    	128  	81       	[120.32108027]	[15.90006718]	[58.] 	[210.]	9.61198
24       	1395/8192    	128  	71       	[120.3297491] 	[15.79020874]	[58.] 	[210.]	9.59864
25       	1443/8192    	128  	56       	[120.34719335]	[15.94957091]	[58.] 	[210.]	9.75276
26       	1498/8192    	128  	64       	[120.39853138]	[15.94774253]	[58.] 	[210.]	9.34625
27       	1541/8192    	128  	56       	[120.46528228]	[15.89190025]	[58.] 	[210.]	9.49733
28       	1590/8192    	128  	67       	[120.49811321]	[15.8635989] 	[58.] 	[210.]	9.54485
29       	1647/8192    	128  	67       	[120.56648452]	[15.75415385]	[58.] 	[210.]	9.66712
30       	1697/8192    	128  	62       	[120.74896877]	[15.68395621]	[58.] 	[210.]	9.70186
31       	1750/8192    	128  	67       	[120.672]     	[15.64184366]	[58.] 	[210.]	9.59128
32       	1796/8192    	128  	55       	[120.62917595]	[15.66877776]	[58.] 	[210.]	9.53831
33       	1848/8192    	128  	62       	[120.58603896]	[15.68570364]	[58.] 	[210.]	9.70517
34       	1895/8192    	128  	59       	[120.63693931]	[15.60985776]	[58.] 	[210.]	9.49359
35       	1935/8192    	128  	55       	[120.72816537]	[15.68502989]	[58.] 	[210.]	10.0902
36       	1978/8192    	128  	59       	[120.82457027]	[15.57122852]	[58.] 	[210.]	9.94134
37       	2029/8192    	128  	68       	[120.91670774]	[15.58045501]	[58.] 	[210.]	9.76436
38       	2062/8192    	128  	47       	[120.93598448]	[15.66854098]	[58.] 	[210.]	9.39743
39       	2096/8192    	128  	51       	[120.96994275]	[15.59474715]	[58.] 	[210.]	9.61663
40       	2131/8192    	128  	53       	[121.08352886]	[15.61029891]	[58.] 	[210.]	9.57317
41       	2166/8192    	128  	56       	[121.22206833]	[15.60157474]	[58.] 	[210.]	9.56542
42       	2204/8192    	128  	53       	[121.3185118] 	[15.58086459]	[58.] 	[210.]	10.1427
43       	2242/8192    	128  	54       	[121.45227475]	[15.58407021]	[58.] 	[210.]	9.85239
44       	2291/8192    	128  	60       	[121.49017896]	[15.62031114]	[58.] 	[210.]	9.62193
45       	2333/8192    	128  	58       	[121.49635662]	[15.57352236]	[58.] 	[210.]	9.83054
46       	2366/8192    	128  	52       	[121.6090448] 	[15.55511791]	[58.] 	[210.]	9.81639
47       	2410/8192    	128  	53       	[121.58423237]	[15.56719341]	[58.] 	[210.]	9.96066
48       	2445/8192    	128  	54       	[121.6993865] 	[15.57684361]	[58.] 	[210.]	9.6054 
49       	2475/8192    	128  	48       	[121.73535354]	[15.62683081]	[58.] 	[210.]	9.69005
50       	2502/8192    	128  	41       	[121.76059153]	[15.65037668]	[58.] 	[210.]	9.62163
51       	2537/8192    	128  	54       	[121.85218762]	[15.68179302]	[58.] 	[210.]	9.46768
52       	2578/8192    	128  	51       	[121.81148177]	[15.63276656]	[58.] 	[210.]	9.64684
53       	2617/8192    	128  	50       	[121.80091708]	[15.61811747]	[58.] 	[210.]	9.51606
54       	2662/8192    	128  	54       	[121.79639369]	[15.61055969]	[58.] 	[210.]	9.58986
55       	2693/8192    	128  	46       	[121.82584478]	[15.50443226]	[58.] 	[210.]	10.0218
56       	2730/8192    	128  	44       	[121.78644689]	[15.54945435]	[58.] 	[210.]	9.51744
57       	2767/8192    	128  	48       	[121.76653415]	[15.53267167]	[58.] 	[210.]	9.57117
58       	2792/8192    	128  	39       	[121.79190544]	[15.50085608]	[58.] 	[210.]	9.82814
59       	2829/8192    	128  	50       	[121.81088724]	[15.45279617]	[63.] 	[210.]	9.92113
60       	2876/8192    	128  	62       	[121.77990264]	[15.47275049]	[63.] 	[210.]	9.65191
61       	2914/8192    	128  	50       	[121.70041181]	[15.47636917]	[63.] 	[210.]	9.72038
62       	2939/8192    	128  	40       	[121.70738346]	[15.52320317]	[47.] 	[210.]	9.30381
63       	2977/8192    	128  	55       	[121.72858582]	[15.5380999] 	[47.] 	[210.]	9.7466 
64       	3023/8192    	128  	55       	[121.69765134]	[15.502133]  	[47.] 	[210.]	9.9186 
65       	3056/8192    	128  	47       	[121.72022251]	[15.43871721]	[47.] 	[210.]	9.77578
66       	3088/8192    	128  	44       	[121.75226684]	[15.44081845]	[47.] 	[210.]	9.70046
67       	3124/8192    	128  	49       	[121.77720871]	[15.45396014]	[47.] 	[210.]	9.95256
68       	3156/8192    	128  	49       	[121.81020279]	[15.48104151]	[47.] 	[210.]	9.60882
69       	3184/8192    	128  	47       	[121.8834799] 	[15.50313807]	[47.] 	[210.]	10.41  
70       	3213/8192    	128  	42       	[121.88297541]	[15.5138162] 	[47.] 	[210.]	9.63018
71       	3245/8192    	128  	52       	[121.91432974]	[15.50756248]	[47.] 	[210.]	10.4271
72       	3269/8192    	128  	41       	[121.9611502] 	[15.5747447] 	[47.] 	[210.]	10.0723
73       	3299/8192    	128  	46       	[122.00121249]	[15.64961908]	[47.] 	[210.]	9.90249
74       	3335/8192    	128  	49       	[122.04107946]	[15.6497206] 	[47.] 	[210.]	9.90777
75       	3370/8192    	128  	54       	[122.0810089] 	[15.6637032] 	[47.] 	[210.]	10.1305
76       	3404/8192    	128  	51       	[122.10957697]	[15.68742234]	[47.] 	[210.]	9.3995 
77       	3428/8192    	128  	41       	[122.10822637]	[15.6611848] 	[47.] 	[210.]	10.0999
78       	3461/8192    	128  	51       	[122.15833574]	[15.59674241]	[47.] 	[210.]	9.47279
79       	3486/8192    	128  	38       	[122.17412507]	[15.55507036]	[47.] 	[210.]	9.64651
80       	3510/8192    	128  	37       	[122.17293447]	[15.5481609] 	[47.] 	[210.]	10.0019
81       	3543/8192    	128  	53       	[122.1529777] 	[15.555724]  	[47.] 	[210.]	9.46821
82       	3576/8192    	128  	45       	[122.20749441]	[15.61170722]	[47.] 	[210.]	9.79017
83       	3608/8192    	128  	52       	[122.29767184]	[15.61649148]	[47.] 	[210.]	9.91251
84       	3635/8192    	128  	47       	[122.33177442]	[15.62111469]	[47.] 	[210.]	9.8539 
85       	3658/8192    	128  	39       	[122.40978677]	[15.6299184] 	[47.] 	[210.]	9.90995
86       	3676/8192    	128  	42       	[122.47334059]	[15.59175855]	[47.] 	[210.]	10.0448
87       	3712/8192    	128  	47       	[122.4997306] 	[15.59066918]	[47.] 	[210.]	9.51736
88       	3747/8192    	128  	44       	[122.53482786]	[15.61327237]	[47.] 	[210.]	9.58369
89       	3772/8192    	128  	34       	[122.54188759]	[15.58665768]	[47.] 	[210.]	9.79241
90       	3803/8192    	128  	50       	[122.56534315]	[15.58965076]	[47.] 	[210.]	9.82392
