Seed: 65856707
/home/students/cs/2017/chadji15/.local/lib/python3.8/site-packages/sklearn/cluster/_kmeans.py:792: FutureWarning: 'n_jobs' was deprecated in version 0.23 and will be removed in 1.0 (renaming of 0.25).
  warnings.warn("'n_jobs' was deprecated in version 0.23 and will be"
iteration	containerSize	evals	nbUpdated	avg   	std 	min   	max   	elapsed
0        	1/4096       	5000 	4        	[173.]	[0.]	[173.]	[173.]	853.379
1        	2/4096       	128  	2        	[190.5]	[10.5]	[180.]	[201.]	21.4278
2        	48/4096      	128  	47       	[169.625]	[14.27209544]	[138.]	[201.]	21.3504
3        	115/4096     	128  	74       	[171.26956522]	[12.50135418]	[138.]	[202.]	20.4525
4        	190/4096     	128  	81       	[171.81052632]	[12.79785733]	[138.]	[209.]	21.0965
5        	268/4096     	128  	81       	[170.68656716]	[12.52634115]	[137.]	[211.]	21.3831
6        	336/4096     	128  	71       	[170.2797619] 	[12.81434538]	[133.]	[218.]	20.8946
7        	406/4096     	128  	80       	[170.71428571]	[13.39774788]	[121.]	[234.]	21.547 
8        	457/4096     	128  	57       	[170.92341357]	[13.96794701]	[121.]	[234.]	21.1529
9        	523/4096     	128  	75       	[170.56022945]	[13.9119639] 	[121.]	[234.]	21.7059
10       	582/4096     	128  	69       	[170.71993127]	[13.8110313] 	[121.]	[234.]	21.9015
11       	641/4096     	128  	69       	[170.63806552]	[13.64458778]	[121.]	[234.]	21.7174
12       	694/4096     	128  	62       	[170.57348703]	[13.96164735]	[121.]	[273.]	21.3698
13       	748/4096     	128  	75       	[171.20989305]	[14.33807088]	[121.]	[273.]	21.5197
14       	803/4096     	128  	71       	[171.21544209]	[14.26260246]	[121.]	[273.]	21.2041
15       	854/4096     	128  	65       	[171.29625293]	[14.24813756]	[121.]	[273.]	21.4367
16       	904/4096     	128  	64       	[171.1460177] 	[14.2416225] 	[121.]	[273.]	21.8962
17       	946/4096     	128  	55       	[171.23784355]	[14.41720127]	[112.]	[273.]	21.2596
18       	988/4096     	128  	55       	[171.13157895]	[14.28728147]	[112.]	[273.]	21.7044
19       	1029/4096    	128  	57       	[171.33527697]	[14.36269495]	[112.]	[273.]	21.7072
20       	1066/4096    	128  	54       	[171.44559099]	[14.51974603]	[112.]	[273.]	21.4595
21       	1105/4096    	128  	54       	[171.54660633]	[14.63337318]	[112.]	[273.]	21.4574
22       	1153/4096    	128  	62       	[171.59410234]	[14.66817241]	[112.]	[273.]	22.0494
23       	1198/4096    	128  	57       	[171.64858097]	[14.64502208]	[112.]	[273.]	21.5236
24       	1240/4096    	128  	63       	[171.82258065]	[14.85225539]	[112.]	[273.]	21.5156
25       	1278/4096    	128  	53       	[171.84976526]	[14.88046148]	[112.]	[273.]	21.3848
26       	1319/4096    	128  	54       	[171.84003033]	[15.01975566]	[112.]	[273.]	21.9499
27       	1351/4096    	128  	41       	[171.94448557]	[14.89665451]	[112.]	[273.]	21.4579
28       	1388/4096    	128  	46       	[171.95172911]	[15.00191548]	[112.]	[273.]	21.4357
29       	1423/4096    	128  	51       	[171.98875615]	[15.12830625]	[112.]	[273.]	22.3223
30       	1460/4096    	128  	52       	[171.96027397]	[15.13129063]	[112.]	[273.]	21.3502
31       	1497/4096    	128  	56       	[172.16967268]	[15.08982021]	[112.]	[273.]	21.4532
32       	1532/4096    	128  	58       	[172.21475196]	[15.13227894]	[112.]	[273.]	22.0776
33       	1563/4096    	128  	48       	[172.2706334] 	[15.10205255]	[112.]	[273.]	20.8786
34       	1594/4096    	128  	45       	[172.31869511]	[15.02582684]	[115.]	[273.]	21.6751
35       	1618/4096    	128  	44       	[172.43263288]	[15.0034433] 	[115.]	[273.]	21.9863
36       	1648/4096    	128  	49       	[172.6092233] 	[15.03737939]	[115.]	[273.]	22.4694
37       	1678/4096    	128  	41       	[172.64064362]	[15.08684254]	[115.]	[273.]	21.5484
